name,partition,set,error
CHEMBL4222_1vyq_CHEMBL195997,crystal,PLANet_train,invalid charges for the ligand CHEMBL4222_1vyq_CHEMBL195997 (PLANet_train set)
CHEMBL4222_1vyq_CHEMBL3143782,crystal,PLANet_train,invalid charges for the ligand CHEMBL4222_1vyq_CHEMBL3143782 (PLANet_train set)
CHEMBL4822_4j1e_CHEMBL3971064,crystal,PLANet_train,invalid charges for the ligand CHEMBL4822_4j1e_CHEMBL3971064 (PLANet_train set)
CHEMBL1937_4lxz_CHEMBL4250582,crystal,PLANet_train,invalid charges for the ligand CHEMBL1937_4lxz_CHEMBL4250582 (PLANet_train set)
CHEMBL251_2ydv_CHEMBL267421,crystal,PLANet_train,invalid charges for the ligand CHEMBL251_2ydv_CHEMBL267421 (PLANet_train set)
CHEMBL251_5wf5_CHEMBL4069499,crystal,PLANet_train,invalid charges for the ligand CHEMBL251_5wf5_CHEMBL4069499 (PLANet_train set)
CHEMBL1741186_6b30_CHEMBL4217952,crystal,PLANet_train,invalid charges for the ligand CHEMBL1741186_6b30_CHEMBL4217952 (PLANet_train set)
CHEMBL205_6d1l_CHEMBL4171114,crystal,PLANet_train,invalid charges for the ligand CHEMBL205_6d1l_CHEMBL4171114 (PLANet_train set)
CHEMBL2094120_6d6t_CHEMBL335960,crystal,PLANet_train,invalid charges for the ligand CHEMBL2094120_6d6t_CHEMBL335960 (PLANet_train set)
CHEMBL2095190_6d6t_CHEMBL335960,crystal,PLANet_train,invalid charges for the ligand CHEMBL2095190_6d6t_CHEMBL335960 (PLANet_train set)
CHEMBL2094121_6d6t_CHEMBL335960,crystal,PLANet_train,invalid charges for the ligand CHEMBL2094121_6d6t_CHEMBL335960 (PLANet_train set)
CHEMBL5251_4otf_CHEMBL3401271,crystal,PLANet_train,invalid charges for the ligand CHEMBL5251_4otf_CHEMBL3401271 (PLANet_train set)
CHEMBL1741186_6b30_CHEMBL4203590,crystal,PLANet_train,invalid charges for the ligand CHEMBL1741186_6b30_CHEMBL4203590 (PLANet_train set)
CHEMBL205_6d1l_CHEMBL4171921,crystal,PLANet_train,invalid charges for the ligand CHEMBL205_6d1l_CHEMBL4171921 (PLANet_train set)
CHEMBL205_6d1l_CHEMBL4165154,crystal,PLANet_train,invalid charges for the ligand CHEMBL205_6d1l_CHEMBL4165154 (PLANet_train set)
CHEMBL2176771_5fck_CHEMBL4108371,crystal,PLANet_train,invalid charges for the ligand CHEMBL2176771_5fck_CHEMBL4108371 (PLANet_train set)
6b30,crystal,PLANet_train,invalid charges for the ligand 6b30 (PLANet_train set)
CHEMBL2176771_5nar_CHEMBL4109454,crystal,PLANet_train,invalid charges for the ligand CHEMBL2176771_5nar_CHEMBL4109454 (PLANet_train set)
CHEMBL1741186_6b30_CHEMBL4215799,crystal,PLANet_train,invalid charges for the ligand CHEMBL1741186_6b30_CHEMBL4215799 (PLANet_train set)
CHEMBL205_6d1l_CHEMBL4159870,crystal,PLANet_train,invalid charges for the ligand CHEMBL205_6d1l_CHEMBL4159870 (PLANet_train set)
CHEMBL205_6d1m_CHEMBL4163634,crystal,PLANet_train,invalid charges for the ligand CHEMBL205_6d1m_CHEMBL4163634 (PLANet_train set)
CHEMBL205_6d1l_CHEMBL4164747,crystal,PLANet_train,invalid charges for the ligand CHEMBL205_6d1l_CHEMBL4164747 (PLANet_train set)
CHEMBL2094122_6d6t_CHEMBL335960,crystal,PLANet_train,invalid charges for the ligand CHEMBL2094122_6d6t_CHEMBL335960 (PLANet_train set)
CHEMBL4630_2ayp_CHEMBL1223040,crystal,PLANet_train,invalid charges for the ligand CHEMBL4630_2ayp_CHEMBL1223040 (PLANet_train set)
CHEMBL1741186_6br2_CHEMBL4205062,crystal,PLANet_train,invalid charges for the ligand CHEMBL1741186_6br2_CHEMBL4205062 (PLANet_train set)
CHEMBL205_4yyt_CHEMBL4166037,crystal,PLANet_train,invalid charges for the ligand CHEMBL205_4yyt_CHEMBL4166037 (PLANet_train set)
CHEMBL4625_4ehr_CHEMBL2030861,crystal,PLANet_train,invalid charges for the ligand CHEMBL4625_4ehr_CHEMBL2030861 (PLANet_train set)
4ehr,crystal,PLANet_train,invalid charges for the ligand 4ehr (PLANet_train set)
CHEMBL4630_2ayp_CHEMBL1223264,crystal,PLANet_train,invalid charges for the ligand CHEMBL4630_2ayp_CHEMBL1223264 (PLANet_train set)
CHEMBL1741186_6b30_CHEMBL4217811,crystal,PLANet_train,invalid charges for the ligand CHEMBL1741186_6b30_CHEMBL4217811 (PLANet_train set)
CHEMBL205_6d1l_CHEMBL4175369,crystal,PLANet_train,invalid charges for the ligand CHEMBL205_6d1l_CHEMBL4175369 (PLANet_train set)
CHEMBL205_6d1l_CHEMBL4159208,crystal,PLANet_train,invalid charges for the ligand CHEMBL205_6d1l_CHEMBL4159208 (PLANet_train set)
CHEMBL205_6d1l_CHEMBL4166046,crystal,PLANet_train,invalid charges for the ligand CHEMBL205_6d1l_CHEMBL4166046 (PLANet_train set)
CHEMBL205_6d1l_CHEMBL4161324,crystal,PLANet_train,invalid charges for the ligand CHEMBL205_6d1l_CHEMBL4161324 (PLANet_train set)
6d1l,crystal,PLANet_train,invalid charges for the ligand 6d1l (PLANet_train set)
CHEMBL205_6d1m_CHEMBL4171524,crystal,PLANet_train,invalid charges for the ligand CHEMBL205_6d1m_CHEMBL4171524 (PLANet_train set)
CHEMBL1741186_6b30_CHEMBL4206093,crystal,PLANet_train,invalid charges for the ligand CHEMBL1741186_6b30_CHEMBL4206093 (PLANet_train set)
CHEMBL205_6ceh_CHEMBL4174268,crystal,PLANet_train,invalid charges for the ligand CHEMBL205_6ceh_CHEMBL4174268 (PLANet_train set)
CHEMBL205_6d1m_CHEMBL4170523,crystal,PLANet_train,invalid charges for the ligand CHEMBL205_6d1m_CHEMBL4170523 (PLANet_train set)
CHEMBL205_6d1l_CHEMBL4162595,crystal,PLANet_train,invalid charges for the ligand CHEMBL205_6d1l_CHEMBL4162595 (PLANet_train set)
CHEMBL251_2ydv_CHEMBL240065,crystal,PLANet_valid,invalid charges for the ligand CHEMBL251_2ydv_CHEMBL240065 (PLANet_valid set)
CHEMBL2094130_6d6t_CHEMBL335960,crystal,PLANet_valid,invalid charges for the ligand CHEMBL2094130_6d6t_CHEMBL335960 (PLANet_valid set)
CHEMBL205_6d1l_CHEMBL4176433,crystal,PLANet_valid,invalid charges for the ligand CHEMBL205_6d1l_CHEMBL4176433 (PLANet_valid set)
CHEMBL1741186_6b30_CHEMBL4202570,crystal,PLANet_valid,invalid charges for the ligand CHEMBL1741186_6b30_CHEMBL4202570 (PLANet_valid set)
CHEMBL2176771_5fck_CHEMBL4112047,crystal,PLANet_valid,invalid charges for the ligand CHEMBL2176771_5fck_CHEMBL4112047 (PLANet_valid set)
6ceh,crystal,PLANet_valid,invalid charges for the ligand 6ceh (PLANet_valid set)
CHEMBL4625_4ehr_CHEMBL3939961,crystal,PLANet_valid,invalid charges for the ligand CHEMBL4625_4ehr_CHEMBL3939961 (PLANet_valid set)
CHEMBL4630_2ayp_CHEMBL1223041,crystal,PLANet_valid,invalid charges for the ligand CHEMBL4630_2ayp_CHEMBL1223041 (PLANet_valid set)
CHEMBL1741186_6b30_CHEMBL4213410,crystal,PLANet_valid,invalid charges for the ligand CHEMBL1741186_6b30_CHEMBL4213410 (PLANet_valid set)
CHEMBL205_6d1m_CHEMBL4172182,crystal,PLANet_valid,invalid charges for the ligand CHEMBL205_6d1m_CHEMBL4172182 (PLANet_valid set)
6d1m,crystal,PLANet_valid,invalid charges for the ligand 6d1m (PLANet_valid set)
CHEMBL1741186_6br2_CHEMBL4203255,crystal,PLANet_valid,invalid charges for the ligand CHEMBL1741186_6br2_CHEMBL4203255 (PLANet_valid set)
CHEMBL2176771_5fck_CHEMBL4110524,crystal,PLANet_test,invalid charges for the ligand CHEMBL2176771_5fck_CHEMBL4110524 (PLANet_test set)
CHEMBL205_6d1l_CHEMBL4173057,crystal,PLANet_test,invalid charges for the ligand CHEMBL205_6d1l_CHEMBL4173057 (PLANet_test set)
CHEMBL1741186_6b30_CHEMBL4205182,crystal,PLANet_test,invalid charges for the ligand CHEMBL1741186_6b30_CHEMBL4205182 (PLANet_test set)
CHEMBL1741186_6b30_CHEMBL4214211,crystal,PLANet_test,invalid charges for the ligand CHEMBL1741186_6b30_CHEMBL4214211 (PLANet_test set)
CHEMBL4630_2ayp_CHEMBL1223265,crystal,PLANet_test,invalid charges for the ligand CHEMBL4630_2ayp_CHEMBL1223265 (PLANet_test set)
CHEMBL205_6ceh_CHEMBL4160510,crystal,PLANet_test,invalid charges for the ligand CHEMBL205_6ceh_CHEMBL4160510 (PLANet_test set)
