pdbid	uniprot_id_for_pdbid
10gs	P09211
184l	P00720
185l	P00720
187l	P00720
188l	P00720
1a07	P12931
1a08	P12931
1a1b	P12931
1a1c	P12931
1a1e	P12931
1a28	P06401
1a2c	P00734
1a46	P00734
1a4h	P02829
1a4r	P60953
1a4w	P00734
1a52	P03372
1a5g	P00734
1a61	P00734
1a7t	P25910
1a85	P22894
1a86	P22894
1a8i	P00489
1a9q	P55859
1afk	P61823
1agw	P11362
1apv	P00798
1aq1	P24941
1au0	P43235
1awf	P00734
1awh	P00734
1ayu	P43235
1ayv	P43235
1azm	P00915
1b0f	P08246
1b57	P0AB71
1b5g	P00734
1b8n	P55859
1b8o	P55859
1ba8	P00734
1bb0	P00734
1bcd	P00918
1bhf	P06239
1bhx	P00734
1bil	P00797
1biw	P08254
1bl4	P62942
1bl6	Q16539
1bl7	Q16539
1bm6	P08254
1bm7	P02766
1bmk	Q16539
1bmm	P00734
1bmn	P00734
1bmq	P29466
1bnm	P00918
1bp0	P00469
1bqo	P08254
1br6	P02879
1bxo	P00798
1bzc	P18031
1bzf	P00381
1bzj	P18031
1bzs	P22894
1bzy	P00492
1c1r	P00760
1c1u	P00734
1c4u	P00734
1c4v	P00734
1c5o	P00734
1c5x	P00749
1c83	P18031
1c84	P18031
1c86	P18031
1ca8	P00734
1caq	P08254
1cbr	P62965
1cbx	P00730
1cea	P00747
1ceb	P00747
1cgl	P03956
1cim	P00918
1cin	P00918
1cj1	P62993
1cnw	P00918
1cnx	P00918
1cny	P00918
1cqp	P20701
1cr6	P34914
1d2s	P04278
1d3d	P00734
1d3p	P00734
1d3q	P00734
1d5j	P08254
1d6w	P00734
1d7x	P08254
1d8e	P01116,Q02293,Q04631
1d8f	P08254
1d9i	P00734
1db1	P11473
1db4	P14555
1db5	P14555
1dgm	Q9TVW2
1di8	P24941
1di9	Q16539
1dis	P00381
1dqx	P03962
1dwc	P00734
1dwd	P00734
1dx6	P04058
1e1v	P24941
1e1x	P24941
1e1y	P00489
1e3g	P10275
1e3v	P07445
1e9h	P20248,P24941
1eb2	P00760
1ecv	P18031
1ek1	P34914
1ek2	P34914
1em6	P06737
1enu	P28720
1eou	P00918
1err	P03372
1ets	P00735
1ett	P00735
1eub	P45452
1eve	P04058
1ex8	P26281
1exv	P06737
1ezf	P37268
1ezq	P00742
1f0r	P00742
1f0s	P00742
1f0u	P00760
1f1j	P55210
1f3e	P28720
1f40	P62942
1f57	P00730
1f5l	P00749
1f92	P00749
1f9e	Q14790
1fax	P00742
1fcy	P13631
1fcz	P13631
1fd0	P13631
1fgi	P11362
1fjs	P00742
1fkf	P62942
1fkg	P62942
1fkh	P62942
1fki	P62942
1fls	P45452
1fm9	P19793,P37231,Q15788
1fpc	P00734
1fpi	P00636
1fq6	P07267
1fq7	P07267
1fta	P09467
1ftj	P19491
1fv9	P00749
1fvt	P24941
1fyr	P62993,P08581
1g05	P08254
1g37	P00734
1g49	P08254
1g4k	P08254
1g4o	P00918
1g52	P00918
1g54	P00918
1g5s	P24941
1g6s	P0A6D3
1g7g	P18031
1gbt	P00760
1gcz	P14174
1gfw	P42574
1gfz	P00489
1ghw	P00734
1gi1	P00760
1gi4	P00760
1gi8	P00749
1gi9	P00749
1gj5	P00734
1gj7	P00749
1gja	P00749
1gjb	P00749
1gjc	P00749
1gjd	P00749
1gmy	P07858
1gpn	P04058
1gpy	P00489
1gsf	P08263
1gsz	P33247
1gu1	P15474
1gx8	P02754
1h00	P24941
1h01	P24941
1h08	P24941
1h1b	P08246
1h1d	P22734
1h22	P04058
1h23	P04058
1h35	P33247
1h36	P33247
1h37	P33247
1h39	P33247
1h3a	P33247
1h3b	P33247
1h5u	P00489
1ha2	P02768
1hbj	P04058
1hdt	P00734
1hfs	P08254
1hi5	P10153
1hkk	Q13231
1hkm	Q13231
1hlf	P00489
1hmr	P05413
1hms	P05413
1hnn	P11086
1hp5	O85361
1hrn	P00797
1hs6	P09960
1hv5	Q02853
1hvy	P04818
1hy7	P08254
1i00	P04818
1i2s	P00808
1i37	P15207
1i5r	P14061
1i72	P17707
1i7g	Q07869
1i7i	P37231
1iau	P10144
1ie9	P11473
1iep	P00520
1il9	P02879
1ilh	O75469
1iy7	P00730
1iyl	P30418
1j4r	P62942
1jak	O85361
1jaq	P22894
1jd0	O43570
1jj9	P22894
1jje	Q79MP6
1jmf	P00469
1jmi	P00469
1jrs	P00760
1jtq	P0A884
1juj	P04818
1jvp	P24941
1jwt	P00734
1jzs	P56690
1k06	P00489
1k08	P00489
1k1i	P00760
1k1j	P00760
1k1l	P00760
1k1m	P00760
1k1n	P00760
1k1o	P00760
1k21	P00734
1k22	P00734
1k27	Q13126
1kak	P18031
1kdk	P04278
1ke5	P24941
1ke6	P24941
1ke7	P24941
1ke8	P24941
1ke9	P24941
1kjr	P17931
1kkq	Q07869,Q9Y618
1kmv	P00374
1koj	Q9N1E2
1kti	P00489
1ktt	P00734
1kv1	Q16539
1kv2	Q16539
1kvo	P14555
1kwq	P00918
1kwr	P00918
1kyn	P08311
1kz8	P00636
1kzn	P0AES6
1l2s	P00811
1l8g	P18031
1lbk	P08263,P09211
1lev	P00636
1lf3	P46925
1lfo	P02692
1lgw	P00720
1lhf	P00734
1lhu	P04278
1lhv	P04278
1lhw	P04278
1li3	P00720
1li6	P00720
1ljt	P14174
1lkk	P06239
1lkl	P06239
1loq	O26232
1lor	O26232
1los	O26232
1lpg	P00742
1lpk	P00742
1lpz	P00742
1lqd	P00742
1lqf	P18031
1lv8	P55859
1lyb	P07339
1m13	O75469
1m5b	P19491
1mdl	P11444
1me3	P25779
1me4	P25779
1mhw	P07711
1mmp	P09237
1mmq	P09237
1mnc	P22894
1mns	P11444
1mq5	P00742
1mq6	P00742
1mrn	P9WKE1
1mrs	P9WKE1
1ms6	P25774
1mu6	P00734
1mu8	P00734
1my2	P19491
1my4	P19491
1n1m	P27487
1n2v	P28720
1n46	P10828
1n5r	P21836
1n7i	P11086
1n7j	P11086
1n94	Q02293,Q04631
1nax	P10828
1nd5	P15309
1nde	Q92731
1ndy	P56658
1nfu	P00742
1nfw	P00742
1nfx	P00742
1nfy	P00742
1nhx	P35558
1nhz	P04150
1njd	P00469
1nje	P00469
1njs	P22102
1nl6	P43235
1nl9	P18031
1nlj	P43235
1nm6	P00734
1nmk	P62937
1nms	P42574
1nny	P18031
1no6	P18031
1np0	P07686
1npz	P25774
1nt1	P00734
1nu8	P27487
1nvq	O14757
1nvr	O14757
1nvs	O14757
1nwl	P18031
1ny2	P01042,P00734
1nyx	P37231
1nz7	P18031
1o0d	P00734
1o0m	P61823
1o0n	P61823
1o2g	P00734
1o3p	P00749
1o42	P12931
1o43	P12931
1o44	P12931
1o46	P12931
1o49	P12931
1o4a	P12931
1o4e	P12931
1o4f	P12931
1o4h	P12931
1o4j	P12931
1o4k	P12931
1o4o	P12931
1o4p	P12931
1o5a	P00749
1o5c	P00749
1o5e	P05981
1o5g	P00734
1o5m	Q02293,Q04631
1o6h	P33247
1o6q	P33247
1o79	P33247
1o86	P12821
1oe0	Q9XZT6
1ogg	P11797
1ogu	P20248,P24941
1oiq	P24941
1oir	P24941
1oit	P24941
1okl	P00918
1oko	Q05097
1okv	P20248,P24941
1oky	O15530
1ol1	P20248,P24941
1ony	P18031
1onz	P18031
1oq5	P00918
1oth	P00480
1ouk	Q16539
1ove	Q16539
1owd	P00749
1owe	P00749
1owh	P00749
1owi	P00749
1owj	P00749
1owk	P00749
1oyn	Q08499
1oyt	P00734
1p2a	P24941
1p4r	P31939
1p57	P05981
1p93	P04150
1pb8	P35439
1pb9	P35439
1pbq	P35439
1pf7	P00491
1pfy	P00959
1pgp	P00349
1ph0	P18031
1pl0	P31939
1pmn	P53779
1pmu	P53779
1pmv	P53779
1pop	P00784
1ppc	P00760
1pph	P00760
1ppl	P00798
1ppm	P00798
1pq6	P55055
1pqc	P55055
1pw6	P60568
1pwp	P15917
1pwy	P00491
1pxh	P18031
1pxj	P24941
1py2	P60568
1py5	P36897
1pye	P24941
1pyn	P18031
1q0b	P52732
1q1m	P18031
1q1y	P68826
1q3d	P49841
1q3w	P49841
1q41	P49841
1q4x	P10828
1q5k	P49841
1q6j	P18031
1q6k	P43235
1q6m	P18031
1q6n	P18031
1q6s	P18031
1q83	P21836
1q84	P21836
1qb6	P00760
1qbn	P00760
1qbo	P00760
1qbv	P00734
1qcp	P00760
1qf1	P00800
1qfs	P23687
1qhc	P61823
1qhr	P00734
1qin	Q04760
1qj1	P00734
1qkn	Q62986
1qkt	P03372
1qku	P03372
1qm4	P13444
1qpe	P06239
1qti	P04058
1qtn	Q14790
1qxk	P18031
1r0p	P08581
1r1i	P08473
1r1j	P08473
1r58	P50579
1r5g	P50579
1r5h	P50579
1r6g	P10828
1r78	P24941
1rbp	P02753
1rdt	P19793,P37231,Q92793,Q15788
1re1	P42574
1rhj	P42574
1rhm	P42574
1rhq	P42574
1rhr	P42574
1rhu	P42574
1riw	P00734
1rjk	P13053
1rmz	P39900
1rne	P00797
1ro6	Q07343
1rr6	P00491
1rs4	P56740
1rt9	P00491
1ru2	P26281
1rv1	Q00987
1rw8	P36897
1rwq	P27487
1rww	P29466
1rwx	P29466
1ryh	P63000
1s19	P11473
1s26	P40136,P0DP23
1s50	P42260
1s64	P53610,Q04631
1s9t	P42260
1sb1	P00734
1sc8	P00749
1shd	P12931
1sj0	P03372
1sln	P08254
1sm2	Q08881
1sme	P46925
1snk	P43235
1so2	Q13370
1soj	Q13370
1sqa	P00749
1sqn	P06401
1sqo	P00749
1stc	P00517
1sve	P00517
1swr	P22629
1syh	P19491
1t1s	P45568
1t31	P23946
1t32	P08311
1t46	P10721
1t48	P18031
1t4e	Q00987
1t4j	P18031
1t4v	P00734
1t69	Q9BY41
1ta2	P00734
1ta6	P00734
1tbz	P00734
1tfq	P98170
1tft	P98170
1thl	P00800
1tlp	P00800
1tmb	P00734
1tmn	P00800
1tng	P00760
1tnk	P00760
1tom	P00734
1tou	P15090
1tow	P15090
1tqf	P56817
1tr7	P08191
1tsl	P00469
1tsv	P00469
1tt1	P42260
1ttm	P00918
1tu6	P43235
1tvo	P28482
1txr	Q01693
1u2y	P04746
1u32	P36873
1u33	P04746
1u3q	Q92731
1u3r	Q15788,Q92731
1u3s	Q15788,Q92731
1u59	P43403
1u65	P04058
1u6q	P00749
1u71	P00374
1u9e	Q92731
1u9q	P25779
1u9v	P43235
1u9w	P43235
1u9x	P43235
1udt	O76074
1udu	O76074
1uho	O76074
1uk0	P09874
1uk1	P09874
1ung	Q00535,Q15078
1unl	Q00535,Q15078
1uom	P03372
1uou	P19971
1urc	P20248,P24941
1usn	P08254
1uto	P00760
1utp	P00760
1utz	P39900
1uu7	O15530
1uv5	P49841
1uv6	P58154
1uvs	P00734
1uvt	P00735
1uw6	P58154
1uwh	P15056
1uy6	P07900
1uyd	P07900
1uym	P08238
1uze	P12821
1v1k	P24941
1v2n	P00760
1v2t	P00760
1v3x	P00742
1v48	P55859
1v79	P56658
1v7a	P56658
1veb	P00517
1vfn	P55859
1vj5	P34913
1vja	P00749
1vjy	P36897
1vsn	P43235
1vso	P22756
1vyq	Q8II92
1vyw	P20248,P24941
1vyz	P24941
1w0x	P24941
1w0y	P13726,P08709
1w0z	P00749
1w11	P00749
1w13	P00749
1w14	P00749
1w2g	P9WKE1
1w2h	P9WKE1
1w2k	P13726,P08709
1w4l	P04058
1w6h	P46925
1w6j	P48449
1w6r	P04058
1w7g	P00734
1w7x	P08709
1w82	Q16539
1w83	Q16539
1wax	P18031
1wbn	Q16539
1wbt	Q16539
1wbw	Q16539
1wcc	P24941
1wm1	O32449
1wok	P09874
1wqv	P13726,P08709
1wss	P13726,P08709
1wu1	P00742
1wug	Q92831
1wum	Q92831
1wvj	P19491
1wzy	P28482
1x0n	P62993
1x70	P27487
1x76	Q15788,Q92731
1x78	Q15788,Q92731
1x7b	Q15788,Q92731
1x7e	P03372
1x7r	P03372
1x8b	P30291
1xap	P10826
1xbb	P43405
1xbc	P43405
1xbo	P18031
1xfv	P40136,P0DP23
1xgj	P00811
1xhy	P19491
1xjd	Q04759
1xka	P00742
1xkk	P00533
1xlx	Q07343
1xm4	Q07343
1xm6	Q07343
1xmu	Q07343
1xmy	Q07343
1xn0	Q07343
1xnx	O35627
1xnz	P0AE18
1xo2	Q00534
1xom	Q08499
1xon	Q08499
1xoq	Q08499
1xor	Q08499
1xot	Q07343
1xow	P10275
1xoz	O76074
1xp0	O76074
1xp1	P03372
1xp6	P03372
1xp9	P03372
1xpc	P03372
1xqc	P03372
1xs7	P56817
1xuc	P45452
1xud	P45452
1xur	P45452
1xzx	P10828
1y2b	Q08499
1y2d	Q08499
1y2f	P77173
1y2g	P77173
1y2h	Q07343
1y2j	Q07343
1y57	P12931
1y6a	P35968
1y6b	P35968
1y91	P24941
1yc1	P07900
1yc4	P07900
1ydk	P08263
1yet	P07900
1yhs	P11309
1yi3	P11309
1yk7	P43235
1ym2	P56817
1ym4	P56817
1yon	P0A9J4
1you	P45452
1ypj	P00734
1yqy	P15917
1yrs	P52732
1ysg	Q07817
1ysi	Q07817
1yt7	P43235
1yvm	P0AE18
1yw7	P50579
1yw8	P50579
1yxd	P0A6L2
1yy4	Q15788,Q92731
1yye	Q15788,Q92731
1yz3	P11086
1z3j	P39900
1z5m	O15530
1z6e	P00742
1z6j	P13726,P08709
1z6q	P00489
1z6s	P61823
1z71	P00734
1z95	P10275
1z9g	P00800
1z9y	P00918
1zaf	Q15788,Q92731
1zaj	P00883
1zd3	P34913
1zd4	P34913
1zd5	P34913
1zdp	P00800
1zeo	P37231
1zfk	P00918
1zfp	P62993
1zfq	P00918
1zgb	P04058
1zge	P00918
1zgi	P00734
1zgv	P00734
1zkl	Q13946
1zkn	Q08499
1zky	P03372
1zom	P03951
1zp5	P22894
1zrz	P41743
1zs0	P22894
1ztq	P45452
1zuc	P06401
1zvx	P22894
1zxc	P78536
1zxv	P15917
1zyj	Q16539
1zz1	Q70I53
1zz2	Q16539
1zzl	Q16539
2a14	O95050
2a2x	P00734
2a3c	Q873X9
2a4l	P24941
2a4z	P48736
2a5u	P48736
2a8g	P02701
2a8h	P78536
2aa6	P08235
2adu	P50579
2aei	P13726,P08709
2agv	P04191
2aj8	P22411
2ajb	P22411
2ajl	P27487
2al5	P19491
2alv	P0C6X7,P0C6U8
2am1	Q8DNV6
2am2	Q8DNV6
2am9	P10275
2ama	P10275
2amt	P62617
2ank	P00734
2anm	P00734
2aou	P50135
2ath	P37231
2aux	P43235
2auz	P43235
2aw1	P00918
2ax6	P10275
2ax9	P10275
2ayp	O14757
2ayr	P03372
2az5	P01375
2b07	P18031
2b1p	P53779
2b1v	P03372
2b1z	P03372
2b52	P24941
2b53	P24941
2b55	P24941
2b7a	O60674
2b7d	P13726,P08709
2b8l	P56817
2b8v	P56817
2baj	Q16539
2bak	Q16539
2bal	Q16539
2bdf	P12931
2bdj	P12931
2bdl	P43235
2bdy	P00734
2bes	P9WKD7
2bgd	P18031
2bge	P18031
2bgr	P27487
2bks	P00797
2bkt	P00797
2bmg	P00742
2boh	P00742
2bpm	P20248,P24941
2bq6	P00742
2bq7	P00742
2bqw	P00742
2brb	O14757
2brc	P02829
2bro	O14757
2bu5	Q15119
2bua	P22411
2bub	P27487
2bvx	P00734
2bxu	P00734
2bys	Q8WSF8
2bza	P00760
2bzz	P10153
2c0o	P08631
2c3i	P11309
2c3j	O14757
2c3k	O14757
2c3l	O14757
2c4f	P13726,P08709
2c4g	P20248,P24941
2c4v	Q48255
2c57	Q48255
2c5n	P20248,P24941
2c5o	P20248,P24941
2c68	P24941
2c6e	O14965
2c6g	Q04609
2c6i	P24941
2c6k	P24941
2c6l	P24941
2c8w	P00734
2c8x	P00734
2c8y	P00734
2c90	P00734
2c93	P00734
2cf9	P00734
2chm	O76074,Q07343
2chw	P48736
2chz	P48736
2cji	P00742
2ckm	P04058
2cm7	P18031
2cma	P18031
2cmb	P18031
2cmc	P18031
2cmf	P04058
2cn8	O96017
2cnf	P18031
2cng	P18031
2cnh	P18031
2cni	P18031
2cvd	O60760
2ddf	P78536
2dq7	P06241
2duv	P24941
2e2b	P00519
2e9n	O14757
2e9o	O14757
2e9u	O14757
2e9v	O14757
2ea2	P50579
2ea4	P50579
2ei6	P00742
2esm	Q13464
2etm	Q05397
2etr	Q13464
2euf	Q00534
2evc	P0AE18
2evm	P0AE18
2ewa	P47811
2ewp	P62508
2exc	P53779
2exm	P24941
2f10	Q9Y3R4
2f14	P00918
2f1g	P25774
2f2c	Q00534
2f34	P22756
2f35	P22756
2f3e	P56817
2f3f	P56817
2f4b	P37231
2f4j	P00519
2f6t	P18031
2f6v	P18031
2f6z	P18031
2f70	P18031
2f71	P18031
2f9b	P13726,P08709
2fai	P03372
2fb8	P15056
2fdp	P56817
2feq	P00734
2fes	P00734
2fgi	P11362
2fhy	P09467
2fie	P09467
2fix	P09467
2fjm	P18031
2fjn	P18031
2fjp	P27487
2fky	P52732
2fl2	P52732
2flr	P13726,P08709
2fme	P52732
2fqt	O34667
2fv5	P78536
2fvd	P24941
2fw3	P18886
2fwz	P07900
2fzz	P00742
2g00	P00742
2g01	P45983
2g0g	P37231
2g0h	P37231
2g1q	P52732
2g1r	P00797
2g1y	P00797
2g24	P00797
2g5p	P27487
2g5t	P27487
2g5u	P02766
2g63	P27487
2g6p	P53582
2g70	P11086
2g71	P11086
2g72	P11086
2g8n	P11086
2g8r	P61823
2g94	P56817
2g9q	P00489
2g9r	P00489
2g9v	P00489
2g9x	P30274,P24941
2ga2	P50579
2gbi	P14740
2gd8	P00918
2gde	P00734
2gdo	O14757
2gfd	P41148
2gfs	Q16539
2giu	Q92731
2gm1	P52732
2gmv	P35558
2gmx	P45983
2gpp	P62508
2gtk	P37231,Q15788
2gv6	Q9Y5Y6
2gv7	Q9Y5Y6
2gvd	P26769
2gvz	P26769
2gz7	P0C6X7,P0C6U8
2gz8	P0C6X7,P0C6U8
2gzl	P62617
2h02	P23467
2h03	P23467
2h15	P00918
2h42	O76074
2h44	O76074
2h4k	P18031
2h4n	P00918
2h5i	P42574
2h65	P42574
2h8h	P12931
2h96	P45983
2h9n	P61964
2ha4	P21836
2ha6	P21836
2hb1	P18031
2hd6	P00918
2hdq	P00811
2hdr	P00811
2hds	P00811
2hdu	P00811
2hfp	P37231,Q15788
2hh5	P25774
2hhn	P25774
2hiz	P56817
2hk5	P08631
2hl4	P00918
2hm1	P56817
2hnx	P15090
2hoc	P00918
2hog	O14757
2hqu	P33316
2hvc	P10275
2hvx	P23946
2hxl	O14757
2hxm	P13051
2hxq	O14757
2hy0	O14757
2hyy	P00519
2hz4	P00519
2hzi	P00519
2i03	P27487
2i0e	P05771
2i0g	Q92731
2i0h	Q16539
2i0j	P03372
2i0y	P07333
2i3z	P14740
2i40	P20248,P24941
2i47	P78536
2i4j	P37231
2i4z	P37231
2i6a	P55263
2i6b	P55263
2ie4	P67775
2ieh	P52732
2igx	P46925
2igy	P46925
2ihq	P15207
2iit	P27487
2iiv	P27487
2iku	P00797
2il2	P00797
2ilp	P0DPI0
2ima	P0DPI0
2in6	P30291
2io6	P30291
2iog	P03372
2iok	P03372
2iqg	P56817
2irz	P56817
2is0	P56817
2itk	Q13526
2ito	P00533
2itp	P00533
2itt	P00533
2ity	P00533
2itz	P00533
2iuz	Q873X9
2ivu	P07949
2iw6	P20248,P24941
2iw9	P20248,P24941
2j2i	P11309
2j2u	P00742
2j34	P00742
2j4a	P10828
2j4i	P00742
2j4z	O14965
2j50	O14965
2j6m	P00533
2j7x	Q62986
2j94	P00742
2j95	P00742
2j9h	P09211
2jaj	O94760
2jbo	P49137
2jbp	P49137
2jdo	P31751,P49841
2jew	P09955
2jfz	Q9ZLT0
2jh0	P00734
2jh6	P00734
2jiu	P00533
2jj3	Q92731
2jjk	P09467
2jk7	P98170
2jnp	P08254
2jt5	P08254
2jt6	P08254
2k2g	P39900
2kce	P0A884
2l84	Q92793
2lkk	P07148
2n0u	O15151
2nmx	P00915
2nn1	P00915
2nn8	P17931
2nng	P00918
2nnq	P15090
2nns	P00918
2nnv	P00918
2no3	P45983
2np8	O14965
2nsx	P04062
2nt7	P18031
2nta	P18031
2nv7	Q15788,Q92731
2nw4	P15207
2nww	O59010
2o0u	P53779
2o1v	P41148
2o22	P10415
2o2u	P53779
2o3z	O67648
2o4j	P13053
2o4r	P13053
2o5k	P49841
2o63	P11309
2o9i	O75469
2oag	P27487
2oah	P56817
2oax	P08235
2oaz	P50579
2obf	P11086
2obj	P11309
2oc4	P00491
2oc9	P00491
2of2	P06239
2of4	P06239
2ofu	P06239
2ofv	P06239
2og8	P06239
2ogz	P27487
2oh4	P35968
2ohk	P56817
2ohl	P56817
2ohm	P56817
2ohp	P56817
2ohq	P56817
2ohr	P56817
2ohs	P56817
2oht	P56817
2oi0	P78536
2oic	Q9NWZ3
2oiq	P00523
2ojg	P28482
2oji	P28482
2ojj	P28482
2ok1	P53779
2ole	P27487
2on6	P00491
2onc	P27487
2ony	P11086
2onz	P11086
2oo8	Q02763
2ooh	P14174
2ooz	P14174
2op3	P25774
2opb	P11086
2oph	P27487
2opy	P98170
2oq6	O75164
2oqi	P27487
2oqv	P27487
2or4	Q04609
2osc	Q02763
2ovx	P14780
2ow0	P14780
2ow3	P49841
2ow9	P45452
2owb	P53350
2oz2	P25779
2oz5	P96830
2oz7	P10275
